Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Chronos_Predicted
2025-04-01,21177.0,21543.8,21100.2,21235.25,36848232,3660.33,21200.537109375
2025-04-02,21250.85,21433.45,21175.85,21408.85,29918268,3020.96,21348.794921875
2025-04-03,21140.2,21320.3,21095.0,21164.0,48081077,3543.38,21126.4091796875
2025-04-04,21081.05,21081.05,20507.55,20593.15,86334679,5219.25,20978.1533203125
2025-04-07,19336.15,19893.7,19316.65,19815.55,105696382,6947.52,21200.537109375
2025-04-08,20141.65,20307.3,19805.25,20138.15,61540203,4647.36,21052.28125
2025-04-09,20188.3,20326.95,20034.65,20140.4,47335353,3845.44,21126.4091796875
2025-04-11,20493.05,20637.95,20432.3,20548.65,58458880,4431.67,21200.5380859375
2025-04-15,21023.95,21276.3,20929.75,21246.2,92607937,5433.76,21200.537109375
2025-04-16,21280.35,21283.1,21058.6,21155.8,42119090,4047.53,21348.794921875
2025-04-17,21152.0,21414.6,20953.1,21373.1,42264973,4074.24,21348.794921875
2025-04-21,21463.45,21848.15,21272.15,21826.0,40671606,3997.75,21348.794921875
2025-04-22,21837.05,21957.7,21729.8,21903.7,41513425,4303.85,21274.666015625
2025-04-23,21999.95,22456.9,21947.05,22424.45,61415556,5561.92,21200.537109375
2025-04-24,22426.9,22492.8,22286.85,22367.55,47474193,4368.32,21200.537109375
2025-04-25,22385.3,22541.9,21885.2,21994.5,56351166,4910.44,21348.79296875
2025-04-28,22003.45,22427.15,21919.95,22352.95,35194014,3400.37,21348.794921875
2025-04-29,22442.65,22584.1,22216.55,22299.05,55022977,4823.88,21422.921875
2025-04-30,22306.15,22389.25,22091.15,22308.4,61251593,6133.0,21200.537109375
2025-05-02,22323.25,22687.95,22198.35,22286.5,40928441,5204.74,21200.537109375
2025-05-05,22443.2,22732.45,22366.3,22699.2,34204354,3704.09,21274.666015625
2025-05-06,22964.95,23092.65,22668.65,22737.6,40994733,5135.13,21274.666015625
2025-05-07,22436.75,23135.5,22435.3,23114.1,72331937,5656.58,21200.537109375
2025-05-08,23213.85,23242.1,22560.2,22674.15,83108731,6304.45,21200.537109375
2025-05-09,22241.45,22804.75,22220.7,22627.8,77899797,6280.86,21348.794921875
2025-05-12,23135.9,23427.35,23066.4,23400.45,59201644,4238.38,21348.794921875
2025-05-13,23293.05,23500.15,23046.95,23167.25,39961879,4604.09,21200.537109375
2025-05-14,23088.6,23390.8,22947.65,23356.85,56183000,5273.35,21200.537109375
2025-05-15,23356.65,23880.5,23261.85,23804.85,58651397,7698.79,21052.28125
2025-05-16,23833.8,24009.75,23777.55,23953.15,48971001,5166.05,21052.28125
2025-05-19,23943.45,24174.15,23933.15,24052.6,40694779,4675.49,21052.28125
2025-05-20,24111.5,24138.7,23495.55,23531.2,53450324,4652.71,21200.5380859375
2025-05-21,23580.4,23914.75,23503.95,23700.1,32628517,3167.98,21200.5380859375
2025-05-22,23629.85,23643.75,23291.4,23459.9,37818068,4647.15,20978.1533203125
2025-05-23,23528.05,23595.2,23423.45,23515.25,42344240,3078.84,20904.025390625
2025-05-26,23574.4,23839.85,23551.25,23763.15,52875432,5284.25,21052.28125
2025-05-27,23785.5,23795.25,23477.4,23596.9,55949233,4477.4,20904.025390625
2025-05-28,23639.3,23639.3,23411.9,23437.05,35886827,3274.73,21126.4091796875
2025-05-29,23529.1,23607.9,23417.25,23555.75,58416743,3825.14,21052.28125
2025-05-30,23547.55,23590.2,23291.05,23325.6,89209126,6999.9,20978.1533203125
2025-06-02,23274.1,23373.4,23147.2,23327.05,41114945,4093.76,20904.025390625
2025-06-03,23399.8,23475.75,23204.9,23268.7,33204984,3972.64,20904.025390625
2025-06-04,23264.5,23455.05,23250.0,23332.6,40034849,3652.71,21126.4091796875
2025-06-05,23461.55,23461.55,23169.7,23306.2,40896994,4318.76,21126.4091796875
2025-06-06,23343.05,23677.7,23208.1,23661.3,42497805,4216.55,21126.4091796875
2025-06-09,23789.8,23882.8,23698.6,23777.15,40154905,3579.78,21126.4091796875
2025-06-10,23869.75,23872.2,23743.2,23759.0,45128409,4224.16,21052.28125
2025-06-11,23797.5,23984.7,23774.0,23805.2,38634488,4156.8,20978.1533203125
2025-06-12,23838.15,23857.55,23341.45,23411.8,34475013,3769.1,20755.7705078125
2025-06-13,22941.8,23365.15,22915.65,23327.4,28743768,3309.42,20978.1533203125
2025-06-16,23302.7,23425.25,23074.25,23368.25,51333957,4174.12,20978.1533203125
2025-06-17,23407.55,23416.8,23176.7,23227.3,36132217,3296.81,20755.76953125
2025-06-18,23208.95,23564.95,23130.05,23312.35,31513472,3978.36,20755.76953125
2025-06-19,23305.5,23496.25,23299.6,23434.65,34168783,3709.28,20829.8974609375
2025-06-20,23462.95,23720.25,23403.7,23679.35,53245708,7236.49,21052.28125
2025-06-23,23526.0,23615.2,23360.85,23461.15,38301779,3217.63,21052.28125
2025-06-24,23670.95,23885.3,23572.35,23598.25,44923799,4332.91,20978.1533203125
2025-06-25,23725.05,23848.8,23668.1,23827.8,39246030,3681.44,21200.537109375
2025-06-26,23883.1,23979.25,23768.9,23961.7,41426669,4861.72,21052.28125
2025-06-27,23994.25,24142.7,23937.9,24007.95,47326665,5688.97,20978.1533203125
2025-06-30,24074.8,24101.95,23824.2,23872.55,25880620,3727.86,21052.28125
2025-07-01,23927.2,23994.25,23745.8,23824.0,23334761,3183.69,21200.5380859375
2025-07-02,23799.5,23962.6,23786.05,23899.85,28796493,3878.58,21052.28125
2025-07-03,23946.85,24202.3,23933.6,24004.95,33710411,4271.79,20978.1533203125
2025-07-04,23989.8,24021.3,23850.85,23980.4,19022214,2739.08,20862.12109375
2025-07-07,23969.5,24012.65,23896.9,23943.9,20630018,2120.39,20862.12109375
2025-07-08,23958.7,23994.5,23681.3,23852.9,27008890,2834.08,21015.51953125
2025-07-09,23807.0,23988.75,23790.4,23944.4,23322054,2425.85,20862.12109375
2025-07-10,23966.3,24002.3,23807.25,23916.85,30232143,2838.61,20862.12109375
2025-07-11,23866.8,23894.4,23433.3,23493.8,28539976,3856.21,20785.421875
2025-07-14,23518.5,23598.25,23447.8,23552.0,37452044,3857.2,20862.12109375
2025-07-15,23588.85,23951.85,23576.05,23905.25,39606124,4596.09,20938.8203125
2025-07-16,23910.1,24041.2,23654.05,24011.15,34428048,3240.66,21015.51953125
2025-07-17,24003.25,24157.0,23954.0,24002.5,26904866,3455.23,20862.12109375
2025-07-18,24050.45,24182.25,23874.2,23894.35,30698140,2847.47,20785.421875
2025-07-21,23866.8,24075.95,23725.1,24055.0,34969889,2840.22,20785.421875
2025-07-22,24067.65,24090.25,23826.9,23875.85,37720094,2948.49,20862.12109375
2025-07-23,23935.55,24157.2,23928.2,24079.4,42098830,3388.44,20862.12109375
2025-07-24,24070.6,24226.4,24051.15,24087.3,66468945,3573.92,20938.8203125
2025-07-25,24064.7,24078.0,23675.9,23781.55,32995402,3098.81,20938.8203125
2025-07-28,23777.7,23981.6,23670.9,23693.0,41480950,3053.76,20785.421875
2025-07-29,23663.0,23936.9,23620.9,23888.35,25789391,2970.51,20785.421875
2025-07-30,23855.85,23867.0,23580.35,23745.8,48051657,4136.54,20862.12109375
2025-07-31,23593.2,23794.1,23397.95,23655.85,58837073,5578.63,20785.421875
2025-08-01,23684.85,23737.2,23378.9,23410.95,44729786,5276.9,20708.72265625
2025-08-04,23457.25,23800.25,23416.05,23787.5,38006330,4359.62,20708.72265625
2025-08-05,23806.3,23903.9,23669.7,23876.3,34096400,3599.44,20555.326171875
2025-08-06,23902.4,23927.85,23662.5,23748.85,33676059,3701.59,20708.72265625
2025-08-07,23620.0,23839.55,23453.55,23808.1,60570411,4783.12,20555.326171875
2025-08-08,23810.3,23890.8,23439.05,23474.65,37623329,3124.95,20708.72265625
2025-08-11,23526.6,23792.75,23440.2,23723.75,57531889,3603.39,20708.72265625
2025-08-12,23741.1,24011.7,23732.45,23856.6,31735297,4031.86,20632.0244140625
2025-08-13,23946.25,24190.05,23913.35,24122.65,48321636,3902.98,20708.72265625
2025-08-14,24136.3,24233.35,24034.1,24118.8,46241166,3063.21,20632.0244140625
2025-08-18,24804.65,25281.95,24782.3,25127.2,131689601,12425.01,20708.72265625
2025-08-19,25172.5,25486.3,25031.2,25456.7,123273850,8404.0,20708.72265625
2025-08-20,25516.4,25518.9,25412.55,25469.25,55977514,4702.61,20632.0244140625
2025-08-21,25559.7,25562.5,25322.3,25377.5,48239108,4656.91,20785.421875
2025-08-22,25409.05,25464.8,25291.55,25329.45,37247807,4283.83,20632.0244140625
2025-08-25,25458.65,25469.7,25244.65,25423.4,31556574,3745.16,20632.0244140625
2025-08-26,25396.7,25521.7,25226.45,25320.3,49148461,6876.96,20632.0244140625
2025-08-28,25589.5,25589.5,25163.45,25183.5,41536230,5290.79,20708.7236328125
2025-08-29,25142.6,25197.5,24891.75,24960.85,57537381,4859.16,20862.12109375
2025-09-01,24998.65,25685.4,24998.65,25660.0,66555772,5426.84,20862.12109375
2025-09-02,25710.8,25807.85,25529.9,25584.95,48599838,5405.74,20708.7236328125
2025-09-03,25701.65,25796.0,25535.15,25775.45,41198044,4204.03,20708.7236328125
2025-09-04,26700.25,26729.65,25964.15,25994.85,65076769,8224.3,20862.12109375
2025-09-05,26147.65,26382.3,26080.1,26320.6,55326814,4500.6,20938.8203125
2025-09-08,26440.0,27266.45,26440.0,27189.2,128776514,8542.82,20938.8203125
2025-09-09,27199.45,27300.75,27073.45,27182.5,57506540,5508.45,21015.51953125
2025-09-10,27269.8,27330.5,26756.75,26833.95,76616418,5384.07,21168.916015625
2025-09-11,26869.75,26926.1,26676.85,26744.45,45108029,4442.64,20938.8203125
2025-09-12,26796.0,27083.25,26784.6,26866.65,81798491,4927.84,21015.5185546875
2025-09-15,26915.05,27011.3,26737.2,26760.65,68396104,3822.67,20938.8203125
2025-09-16,26849.35,27191.2,26818.15,27146.4,71484690,4949.79,20862.12109375
2025-09-17,27185.2,27343.2,27138.4,27294.65,64551406,4605.57,20862.12109375
2025-09-18,27388.7,27418.0,27179.45,27329.35,51602081,4361.86,20862.12109375
2025-09-19,27319.45,27367.8,27195.05,27219.55,68098207,5945.02,20938.8203125
2025-09-22,27256.05,27386.05,27105.35,27154.3,46008502,3864.4,20862.12109375
2025-09-23,27355.4,27725.75,27284.75,27321.95,98694047,6156.16,20708.7236328125
2025-09-24,27319.5,27326.9,26990.75,27007.6,81548420,4611.51,20785.4228515625
2025-09-25,26951.65,26975.15,26718.35,26758.5,58357137,5231.24,20862.12109375
2025-09-26,26694.7,26861.45,26463.7,26484.55,70280183,5259.58,20938.8193359375
2025-09-29,26612.4,26677.2,26393.05,26436.55,80690895,10594.73,20862.12109375
2025-09-30,26451.65,26591.65,26328.05,26542.35,64048587,4895.01,20862.12109375
2025-10-01,26556.85,26810.15,26538.75,26768.65,59111237,5546.06,20938.8203125
2025-10-03,26771.25,26869.65,26488.3,26753.1,62805447,6637.0,21015.51953125
2025-10-06,26778.2,26886.75,26559.75,26857.2,38266464,3357.87,21092.2177734375
2025-10-07,26856.4,27087.35,26825.5,26933.55,52568709,4319.17,21057.216796875
2025-10-08,26950.7,27046.95,26487.5,26522.4,48029639,4154.08,21136.3798828125
2025-10-09,26601.0,26640.0,26365.65,26587.0,48175325,4224.78,21215.54296875
2025-10-10,26574.6,26801.35,26468.05,26721.2,48331041,4181.3,21215.54296875
2025-10-13,26662.05,26824.6,26592.05,26698.15,64296064,4826.68,21215.54296875
2025-10-14,26749.9,26760.35,26495.95,26640.55,101104527,5242.52,21215.54296875
2025-10-15,26706.15,26809.2,26618.45,26708.65,59415459,3824.93,21373.8671875
2025-10-16,26782.15,27109.6,26756.75,27048.75,66139525,4208.45,21373.8671875
2025-10-17,27045.3,27300.7,27033.55,27228.6,59536646,4842.11,21215.54296875
2025-10-20,27375.8,27403.9,27165.05,27185.45,31522013,3562.11,21294.705078125
2025-10-21,27285.4,27325.7,27156.05,27229.85,9290368,481.29,21373.8671875
2025-10-23,27479.2,27480.75,27170.05,27218.75,74144885,5272.43,21373.8671875
2025-10-24,27262.05,27309.6,27018.65,27108.7,34303944,2877.95,21373.8671875
2025-10-27,27179.7,27279.65,27128.3,27263.65,47119741,2954.92,21373.8671875
2025-10-28,27277.35,27412.65,27065.35,27148.35,59712222,4950.75,21294.705078125
2025-10-29,27195.7,27196.5,26890.15,26948.9,41194366,3967.13,21373.8671875
2025-10-30,27010.4,27036.55,26795.7,26829.55,43981190,3537.51,21215.54296875
2025-10-31,26885.1,27115.5,26774.4,26809.85,41593213,4348.51,21294.705078125
2025-11-03,26849.85,26991.4,26710.3,26841.8,36488329,4188.55,21294.705078125
2025-11-04,26822.95,26826.8,26583.6,26610.05,42498118,6610.63,21294.705078125
2025-11-06,26754.6,26897.1,26555.6,26626.5,48732976,4940.57,21373.8671875
2025-11-07,26594.7,26850.35,26285.35,26779.55,30862047,3418.71,21215.54296875
2025-11-10,26772.3,26954.05,26722.0,26859.85,44473787,4022.79,21215.54296875
2025-11-11,26990.6,27174.4,26735.8,27148.25,59339800,4329.05,21294.705078125
2025-11-12,27226.8,27554.2,27137.8,27485.15,105955771,5191.66,21373.8671875
2025-11-13,27443.25,27526.6,27327.2,27382.8,132969382,4974.69,21373.8671875
2025-11-14,27321.35,27444.5,27078.4,27239.8,286538843,10642.24,21373.8671875
2025-11-17,27258.2,27519.05,27116.05,27472.65,70240368,5789.42,21215.54296875
2025-11-18,27483.15,27502.1,27292.5,27368.25,50314480,4635.32,21294.705078125
2025-11-19,27386.0,27521.05,27270.55,27434.45,72772129,4500.74,21294.705078125
2025-11-20,27564.85,27625.0,27441.15,27554.0,50020696,4135.5,21373.8671875
2025-11-21,27552.8,27720.1,27488.9,27537.85,45766481,4761.56,21373.8671875
2025-11-24,27547.9,27594.75,27391.6,27442.2,106296348,7264.36,21453.029296875
2025-11-25,27444.95,27520.95,27335.55,27378.7,56511953,3681.05,21453.029296875
2025-11-26,27458.35,27742.4,27418.05,27696.4,54380625,3812.82,21453.029296875
2025-11-27,27782.9,27832.6,27527.45,27603.65,151747470,5421.29,21453.029296875
2025-11-28,27627.95,27830.15,27562.65,27774.6,71760495,4585.76,21453.029296875
2025-12-01,27929.3,28075.65,27853.85,27993.0,62949916,5128.68,21453.029296875
2025-12-02,27959.65,28099.65,27908.15,27979.5,87111165,4814.7,21532.19140625
2025-12-03,28014.5,28021.15,27581.2,27643.8,65016597,3870.69,21373.8671875
2025-12-04,27703.4,27866.2,27581.1,27732.7,45473940,3631.21,21294.705078125
2025-12-05,27706.2,27957.0,27663.3,27939.1,33920747,3536.89,21453.029296875
2025-12-08,27914.0,27960.05,27503.8,27596.8,36196227,3027.27,21294.705078125
2025-12-09,27472.2,27546.85,27116.5,27399.25,48537996,4683.79,21215.54296875
2025-12-10,27506.85,27632.65,27313.15,27358.25,36443446,3814.09,21373.8671875
2025-12-11,27357.7,27683.95,27307.8,27661.0,56515584,3013.46,21373.8671875
2025-12-12,27687.85,27852.45,27683.95,27820.85,43689385,3157.22,21294.705078125
